[DEBUG] 2023-11-16 18:21:02.061 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-11-16 18:21:02.068 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-11-16 18:21:02.073 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-11-16 18:21:02.180 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-11-16 18:21:02.183 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-11-16 18:21:02.378 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [.//Hibernate/Hiberntae Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2023-11-16 18:21:02.379 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2023-11-16 18:21:02.383 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-11-16 18:21:02.618 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-11-16 18:21:02.635 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-11-16 18:21:02.636 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-11-16 18:21:02.652 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-11-16 18:21:02.686 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@102ecc22
[DEBUG] 2023-11-16 18:21:02.686 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@102ecc22
[DEBUG] 2023-11-16 18:21:02.686 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@102ecc22
[DEBUG] 2023-11-16 18:21:02.686 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@43045f9f
[DEBUG] 2023-11-16 18:21:02.687 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4eba373c
[DEBUG] 2023-11-16 18:21:02.687 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@26f46fa6
[DEBUG] 2023-11-16 18:21:02.688 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@421056e5
[DEBUG] 2023-11-16 18:21:02.688 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@421056e5
[DEBUG] 2023-11-16 18:21:02.688 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@421056e5
[DEBUG] 2023-11-16 18:21:02.690 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@54e3658c
[DEBUG] 2023-11-16 18:21:02.690 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@54e3658c
[DEBUG] 2023-11-16 18:21:02.690 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@54e3658c
[DEBUG] 2023-11-16 18:21:02.691 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@cdb2d95
[DEBUG] 2023-11-16 18:21:02.691 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@cdb2d95
[DEBUG] 2023-11-16 18:21:02.691 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@cdb2d95
