[DEBUG] 2023-11-19 17:31:03.704 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-11-19 17:31:03.707 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-11-19 17:31:03.710 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-11-19 17:31:03.775 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-11-19 17:31:03.777 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-11-19 17:31:03.931 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [.//Hibernate/Hiberntae Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2023-11-19 17:31:03.933 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2023-11-19 17:31:03.936 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-11-19 17:31:04.121 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-11-19 17:31:04.132 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-11-19 17:31:04.133 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-11-19 17:31:04.148 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-11-19 17:31:04.169 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6403e24c
[DEBUG] 2023-11-19 17:31:04.169 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6403e24c
[DEBUG] 2023-11-19 17:31:04.169 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6403e24c
[DEBUG] 2023-11-19 17:31:04.169 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@d109c4f
[DEBUG] 2023-11-19 17:31:04.170 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@9596ce8
[DEBUG] 2023-11-19 17:31:04.170 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@21bd20ee
[DEBUG] 2023-11-19 17:31:04.171 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7a0e7ecd
[DEBUG] 2023-11-19 17:31:04.171 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7a0e7ecd
[DEBUG] 2023-11-19 17:31:04.171 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7a0e7ecd
[DEBUG] 2023-11-19 17:31:04.172 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5b852b49
[DEBUG] 2023-11-19 17:31:04.172 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5b852b49
[DEBUG] 2023-11-19 17:31:04.172 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5b852b49
[DEBUG] 2023-11-19 17:31:04.173 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@80bfdc6
[DEBUG] 2023-11-19 17:31:04.173 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@80bfdc6
[DEBUG] 2023-11-19 17:31:04.173 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@80bfdc6
[DEBUG] 2023-11-19 17:31:04.174 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@e84fb85
[DEBUG] 2023-11-19 17:31:04.174 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@e84fb85
